Datetime,Tweet Id,Text,Username,Sentiment_Polarity,Sentiment
2022-06-01 10:10:14+00:00,1.53194E+18,アダロ・エナジー（ADRO）はインドネシアの石炭採掘・生産企業。 正式な企業名はPT Adaro Energy Tbk となる。 https://t.co/5zdtMLEKxG 2008年7月にインドネシア証券取引所（IDX）へ上場。,Indonesiastock,0,neutral
2022-05-31 00:18:36+00:00,1.53143E+18,"Erick merupakan putra Teddy Thohir, yang merupakan pendiri PT Astra International Tbk bersama William Soeryadjaya. Ia memiliki istri Elzabeth Tjandra, adik dari Boy Garibaldi Thohir, pemilik salah satu perusahaan batubara terbesar Indonesia, PT Adaro Energy Tbk.
#BangkitBersamaET https://t.co/6qZHjysb7R",Aryprasetyo85,0,neutral
2022-05-30 09:18:25+00:00,1.5312E+18,Sip.. siap2 menyambut adanya anak usaha Adaro Energy ( $ADRO ) yg fokus ke EBT (tenaga surya &amp; hidrogen).. https://t.co/hNx2XA6kP1,_fireshare,0,neutral
2022-05-29 07:05:00+00:00,1.53081E+18,"Laporan Keuangan PT Adaro Energy Indonesia Tbk (ADRO) kuartal I tahun 2022 telah dipublikasikan.

Pendapatan ADRP meningkat 77% dan Laba Periode Berjalan yang dapat Diatribusikan kepada Pemilik Entitas Induk meroket 457%.

#BEI #IDX #LK2022Q1 #Saham https://t.co/D2PIAPVu91",LumbungSaham,0,neutral
2022-05-26 10:14:53+00:00,1.52977E+18,Adaro Energy (ADRO) Terus Jajaki Kemungkinan Pengembangan Proyek Energi Terbarukan https://t.co/nsyQmQLiYo #Emiten,KontanNews,0,neutral
2022-05-25 10:10:15+00:00,1.5294E+18,アダロ・エナジー（ADRO）はインドネシアの石炭採掘・生産企業。 正式な企業名はPT Adaro Energy Tbk となる。 https://t.co/5zdtMLEKxG 2008年7月にインドネシア証券取引所（IDX）へ上場。,Indonesiastock,0,neutral
2022-05-25 04:38:18+00:00,1.52932E+18,"Lowongan kerja

#adaroenergy 
#adarocareer 
#lowkertambang 
#duniatambang 
#pekerjatambang 
#anaktambang 
#tambangkalimantan 
#lowkerkalsel 
#tabalong 
#like #linkedin @ Tambang Batu Bara https://t.co/J1r26wvNXI",lowker_tambang,0,neutral
2022-05-23 12:52:47+00:00,1.52872E+18,"Bayan membagikan dividen US$ 1 miliar atau sekitar Rp 14,5 triliun, lebih besar lebih besar dari Adaro Energy Indonesia senilai US$ 650 juta atau sekitar Rp 9,42 triliun untuk tahun buku 2021.
 https://t.co/RJMwod46pa",KATADATAcoid,0,neutral
2022-05-23 02:43:58+00:00,1.52857E+18,"Ingat! 8 Juni 2022 Adaro Energy (ADRO) Bayar Dividen Final Rp141,39 per Saham

baca selengkapnya di
https://t.co/RMhWu2iGoh

#adaro #saham #coffeemeetstocks https://t.co/wYmcUzBc2R",coffeemeetstock,0,neutral
2022-05-21 00:16:06+00:00,1.52781E+18,Asian stock - Adaro Energy Indonesia https://t.co/KDu5t7Qan3,TalkMarkets,0,neutral
